Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
GWINNETT,ED-063 Pinckneyville M ICP 1 - 0,371,Round 1: 0.510019398782191988,,Yes,"Earl L. ""Buddy"" Carter: 28; Mike Collins: 76; John F. Coyne III: 4; Derek Dooley: 109; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 28; Mike Collins: 76; John F. Coyne III: 4; Derek Dooley: 109; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 60; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 21; Jason Esteves: 35; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 60; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 21; Jason Esteves: 35; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 4",,,
GWINNETT,ED-071 Lawrenceville F ICP 1 - 0,159,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 7; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 84; Olu Brown: 2; Amanda Duffy: 3; Geoff Duncan: 5; Jason Esteves: 20; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 84; Olu Brown: 2; Amanda Duffy: 3; Geoff Duncan: 5; Jason Esteves: 20; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 5",,,
GWINNETT,ED-080 Baycreek C ICP 1 - 0,694,Round 1: 0.213679734371064332,,Yes,"Earl L. ""Buddy"" Carter: 39; Mike Collins: 78; John F. Coyne III: 5; Derek Dooley: 61; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 39; Mike Collins: 78; John F. Coyne III: 5; Derek Dooley: 61; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 309; Olu Brown: 6; Amanda Duffy: 8; Geoff Duncan: 23; Jason Esteves: 87; Derrick Jackson: 14; Michael ""Mike"" Thurmond: 34","Keisha Lance Bottoms: 309; Olu Brown: 6; Amanda Duffy: 8; Geoff Duncan: 23; Jason Esteves: 87; Derrick Jackson: 14; Michael ""Mike"" Thurmond: 34",,,
GWINNETT,ED-082 Duluth E ICP2 - 0,322,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 16; Mike Collins: 38; John F. Coyne III: 4; Derek Dooley: 34; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 16; Mike Collins: 38; John F. Coyne III: 4; Derek Dooley: 34; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 103; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 12; Jason Esteves: 58; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 103; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 12; Jason Esteves: 58; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 8",,,
GWINNETT,ED-086 Martins F ICP2 - 0,119,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 9; Mike Collins: 8; John F. Coyne III: 1; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 9; Mike Collins: 8; John F. Coyne III: 1; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 39; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 5; Jason Esteves: 27; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 39; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 5; Jason Esteves: 27; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 6",,,
GWINNETT,ED-099 Pinckneyville T ICP2 - 0,140,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 17; Mike Collins: 12; John F. Coyne III: 2; Derek Dooley: 22; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 17; Mike Collins: 12; John F. Coyne III: 2; Derek Dooley: 22; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 44; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 4; Jason Esteves: 24; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 44; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 4; Jason Esteves: 24; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5",,,
GWINNETT,ED-109 Berkshire M ICP 1 - 0,208,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 12; Mike Collins: 18; John F. Coyne III: 1; Derek Dooley: 36; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 12; Mike Collins: 18; John F. Coyne III: 1; Derek Dooley: 36; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 72; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 10; Jason Esteves: 29; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 72; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 10; Jason Esteves: 29; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 8",,,
GWINNETT,ED-117 Martins J ICP2 - 0,127,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 7; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 64; Olu Brown: 1; Amanda Duffy: 7; Geoff Duncan: 5; Jason Esteves: 16; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 64; Olu Brown: 1; Amanda Duffy: 7; Geoff Duncan: 5; Jason Esteves: 16; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 4",,,
GWINNETT,ED-119 Berkshire O ICP 1 - 0,240,Round 1: 0.365430947359270346,,Yes,"Earl L. ""Buddy"" Carter: 24; Mike Collins: 33; John F. Coyne III: 3; Derek Dooley: 35; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 24; Mike Collins: 33; John F. Coyne III: 3; Derek Dooley: 35; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 59; Olu Brown: 3; Amanda Duffy: 7; Geoff Duncan: 7; Jason Esteves: 37; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 9","Keisha Lance Bottoms: 59; Olu Brown: 3; Amanda Duffy: 7; Geoff Duncan: 7; Jason Esteves: 37; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 9",,,
GWINNETT,ED-123 Pinckneyville Y ICP 1 - 0,159,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 14; John F. Coyne III: 0; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 6; Mike Collins: 14; John F. Coyne III: 0; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 55; Olu Brown: 2; Amanda Duffy: 5; Geoff Duncan: 3; Jason Esteves: 46; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 9","Keisha Lance Bottoms: 55; Olu Brown: 2; Amanda Duffy: 5; Geoff Duncan: 3; Jason Esteves: 46; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 9",,,
GWINNETT,ED-152 Rockycreek C ICP 1 - 0,330,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 27; Mike Collins: 41; John F. Coyne III: 1; Derek Dooley: 50; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 27; Mike Collins: 41; John F. Coyne III: 1; Derek Dooley: 50; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 116; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 11; Jason Esteves: 44; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 12","Keisha Lance Bottoms: 116; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 11; Jason Esteves: 44; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 12",,,
GWINNETT,ICC-Absentee By Mail 1 - 4,48,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 1; John F. Coyne III: 1; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 1; John F. Coyne III: 1; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
GWINNETT,ICC-Absentee By Mail 1 - 6,50,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 8; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 2; Mike Collins: 8; John F. Coyne III: 1; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 0","Derrick Jackson: -2; Michael ""Mike"" Thurmond: +2",2,
GWINNETT,ICC-Absentee By Mail 3 - 1,49,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 2; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 12; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 12; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
GWINNETT,ICC-Absentee By Mail 4 - 1,49,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 6; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 6; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
GWINNETT,ICC-Absentee By Mail 4 - 17,26,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GWINNETT,ICC-Absentee By Mail 4 - 18,71,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 1; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 5; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 5; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
GWINNETT,ICC-Absentee By Mail 7 - 8,50,Round 1: 0.034187364391049608,,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 4; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 4; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
GWINNETT,ICC-Absentee By Mail 7 - 14,50,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 1; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 1; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 0; Jason Esteves: 2; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 2; Geoff Duncan: 0; Jason Esteves: 2; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
GWINNETT,ICC-Provisional - 8,10,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GWINNETT,ICC-Provisional - 14,10,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
HABERSHAM,AV-Location 1 ICP 2 - 0,949,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 184; Mike Collins: 265; John F. Coyne III: 7; Derek Dooley: 289; Jonathan ""Jon"" McColumn: 27","Earl L. ""Buddy"" Carter: 184; Mike Collins: 265; John F. Coyne III: 7; Derek Dooley: 289; Jonathan ""Jon"" McColumn: 27",,,"Keisha Lance Bottoms: 60; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 28; Jason Esteves: 16; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 32","Keisha Lance Bottoms: 60; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 28; Jason Esteves: 16; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 32",,,
HABERSHAM,ED-Habersham N ICP 2 - 0,1096,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 215; Mike Collins: 336; John F. Coyne III: 11; Derek Dooley: 317; Jonathan ""Jon"" McColumn: 29","Earl L. ""Buddy"" Carter: 215; Mike Collins: 336; John F. Coyne III: 11; Derek Dooley: 317; Jonathan ""Jon"" McColumn: 29",,,"Keisha Lance Bottoms: 52; Olu Brown: 0; Amanda Duffy: 4; Geoff Duncan: 27; Jason Esteves: 23; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 27","Keisha Lance Bottoms: 52; Olu Brown: 0; Amanda Duffy: 4; Geoff Duncan: 27; Jason Esteves: 23; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 27",,,
HABERSHAM,ICC-Absentee by Mail - 1,4,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
HABERSHAM,ICC-Absentee by Mail - 3,21,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 7; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 1",,,
HALL,AV-SOUTH 1 ICP1 - 0,2158,Round 1: 0.816723440763646860,,Yes,"Earl L. ""Buddy"" Carter: 312; Mike Collins: 557; John F. Coyne III: 19; Derek Dooley: 509; Jonathan ""Jon"" McColumn: 58","Earl L. ""Buddy"" Carter: 312; Mike Collins: 557; John F. Coyne III: 19; Derek Dooley: 509; Jonathan ""Jon"" McColumn: 58",,,"Keisha Lance Bottoms: 329; Olu Brown: 6; Amanda Duffy: 9; Geoff Duncan: 109; Jason Esteves: 148; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 26","Keisha Lance Bottoms: 329; Olu Brown: 6; Amanda Duffy: 9; Geoff Duncan: 109; Jason Esteves: 148; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 26",,,
HALL,AV-SOUTH 2 ICP1 - 0,2261,Round 1: 0.109078030633826576,,Yes,"Earl L. ""Buddy"" Carter: 403; Mike Collins: 637; John F. Coyne III: 11; Derek Dooley: 589; Jonathan ""Jon"" McColumn: 69","Earl L. ""Buddy"" Carter: 403; Mike Collins: 637; John F. Coyne III: 11; Derek Dooley: 588; Jonathan ""Jon"" McColumn: 69",Derek Dooley: +1,1,"Keisha Lance Bottoms: 260; Olu Brown: 7; Amanda Duffy: 11; Geoff Duncan: 72; Jason Esteves: 99; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 39","Keisha Lance Bottoms: 260; Olu Brown: 7; Amanda Duffy: 11; Geoff Duncan: 72; Jason Esteves: 99; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 39",,,
HALL,ED-Gainesville II  ICP 1 - 0,248,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 11; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 11; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 136; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 11; Jason Esteves: 19; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 45","Keisha Lance Bottoms: 136; Olu Brown: 2; Amanda Duffy: 4; Geoff Duncan: 11; Jason Esteves: 19; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 45",,,
HALL,ED-Gainesville III  ICP 1 - 0,376,Round 1: 0.568029889270672350,,Yes,"Earl L. ""Buddy"" Carter: 30; Mike Collins: 67; John F. Coyne III: 0; Derek Dooley: 46; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 30; Mike Collins: 67; John F. Coyne III: 0; Derek Dooley: 46; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 101; Olu Brown: 6; Amanda Duffy: 11; Geoff Duncan: 9; Jason Esteves: 74; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 101; Olu Brown: 6; Amanda Duffy: 11; Geoff Duncan: 9; Jason Esteves: 74; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 8",,,
HALL,ED-Morgan II  ICP 1 - 0,627,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 77; Mike Collins: 161; John F. Coyne III: 4; Derek Dooley: 165; Jonathan ""Jon"" McColumn: 29","Earl L. ""Buddy"" Carter: 77; Mike Collins: 161; John F. Coyne III: 4; Derek Dooley: 165; Jonathan ""Jon"" McColumn: 29",,,"Keisha Lance Bottoms: 84; Olu Brown: 4; Amanda Duffy: 6; Geoff Duncan: 12; Jason Esteves: 54; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 7","Keisha Lance Bottoms: 84; Olu Brown: 4; Amanda Duffy: 6; Geoff Duncan: 12; Jason Esteves: 54; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 7",,,
HALL,ED-Quillians  ICP 1 - 0,483,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 95; Mike Collins: 174; John F. Coyne III: 4; Derek Dooley: 147; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 95; Mike Collins: 174; John F. Coyne III: 4; Derek Dooley: 147; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 19; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 6; Jason Esteves: 10; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 19; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 6; Jason Esteves: 10; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
HALL,ICC-Absentee by Mail - 22,48,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 9; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 5; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 9; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
HALL,ICC-Absentee by Mail - 39,21,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",Geoff Duncan: -1,1,
HANCOCK,Absentee by Mail,96,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 55; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 4; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 25","Keisha Lance Bottoms: 55; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 4; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 25",,,
HANCOCK,Advance Voting,971,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 42; Mike Collins: 132; John F. Coyne III: 2; Derek Dooley: 36; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 42; Mike Collins: 132; John F. Coyne III: 2; Derek Dooley: 36; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 478; Olu Brown: 5; Amanda Duffy: 11; Geoff Duncan: 13; Jason Esteves: 19; Derrick Jackson: 22; Michael ""Mike"" Thurmond: 167","Keisha Lance Bottoms: 478; Olu Brown: 5; Amanda Duffy: 11; Geoff Duncan: 13; Jason Esteves: 19; Derrick Jackson: 21; Michael ""Mike"" Thurmond: 167",Derrick Jackson: +1,-1,
HANCOCK,Election Day,997,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 58; Mike Collins: 175; John F. Coyne III: 1; Derek Dooley: 42; Jonathan ""Jon"" McColumn: 15","Earl L. ""Buddy"" Carter: 58; Mike Collins: 173; John F. Coyne III: 1; Derek Dooley: 42; Jonathan ""Jon"" McColumn: 15",Mike Collins: +2,2,"Keisha Lance Bottoms: 420; Olu Brown: 3; Amanda Duffy: 13; Geoff Duncan: 19; Jason Esteves: 22; Derrick Jackson: 28; Michael ""Mike"" Thurmond: 158","Keisha Lance Bottoms: 418; Olu Brown: 3; Amanda Duffy: 13; Geoff Duncan: 19; Jason Esteves: 22; Derrick Jackson: 28; Michael ""Mike"" Thurmond: 158",Keisha Lance Bottoms: +2,2,
